term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(age_1_5_years_7)2,6.36776000156434e-7,8.896096488392725e-6,0.07157925962103426,0.9429670652625404,age_1_5_years_7,GLYCOLYSIS_E_D,0.9429670652625404
factor(age_5_10_years_7)2,2.8608688584433907e-6,9.909148196507047e-6,0.2887098670551562,0.7729301610061964,age_5_10_years_7,GLYCOLYSIS_E_D,0.7729301610061964
factor(age_10_18_years_7)2,-1.2273950254548394e-5,1.11713473148464e-5,-1.0986991907624846,0.272459410466658,age_10_18_years_7,GLYCOLYSIS_E_D,0.272459410466658
factor(age_1_5_years_8)2,3.0280397316492316e-6,9.030963250931797e-6,0.335295322050702,0.7375516078108788,age_1_5_years_8,GLYCOLYSIS_E_D,0.7375516078108788
factor(age_5_10_years_8)2,-4.912727297933105e-7,8.206131602472866e-6,-0.05986654292081651,0.9522873193161849,age_5_10_years_8,GLYCOLYSIS_E_D,0.9522873193161849
factor(age_10_18_years_8)2,-5.346599441722305e-7,8.161319995516848e-6,-0.06551145457670184,0.9477947013913441,age_10_18_years_8,GLYCOLYSIS_E_D,0.9477947013913441
factor(age_1_5_yers_9)2,2.423121179823713e-6,8.575323825516552e-6,0.28256905851339686,0.7776310710256853,age_1_5_yers_9,GLYCOLYSIS_E_D,0.7776310710256853
factor(age_5_10_years_9)2,9.037771840639269e-6,8.30223325896208e-6,1.0885952681326065,0.2768879172630167,age_5_10_years_9,GLYCOLYSIS_E_D,0.2768879172630167
factor(age_10_18_years_9)2,1.0853024939179288e-6,8.614523311326682e-6,0.12598520599403737,0.8997972806935158,age_10_18_years_9,GLYCOLYSIS_E_D,0.8997972806935158
factor(age_1_5_years_10)2,2.0519315067603564e-6,1.1072099010501412e-5,0.18532452652511391,0.8530541105002104,age_1_5_years_10,GLYCOLYSIS_E_D,0.8530541105002104
factor(age_5_10_years_10)2,2.9804159117327603e-6,8.719168180581008e-6,0.34182342283185074,0.7326359178631319,age_5_10_years_10,GLYCOLYSIS_E_D,0.7326359178631319
