term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(age_5_10_years_5)2,-0.034998856228774806,0.02036870621405428,-1.7182660430649155,0.08640388796978998,age_5_10_years_5,Butyricicoccus_sp_AM29_23AC,0.08640388796978998
factor(age_10_18_years_5)2,-0.024006988869271644,0.020017303712492353,-1.1993118161208403,0.23100970569926366,age_10_18_years_5,Butyricicoccus_sp_AM29_23AC,0.23100970569926366
factor(age_1_5_years_6)2,-0.01876897960153443,0.021432207668399594,-0.8757371098642386,0.3816184024779098,age_1_5_years_6,Butyricicoccus_sp_AM29_23AC,0.3816184024779098
factor(age_5_10_years_6)2,-0.02509736366409094,0.02229949055265852,-1.1254680282863618,0.26096271129665005,age_5_10_years_6,Butyricicoccus_sp_AM29_23AC,0.26096271129665005
factor(age_10_18_years_6)2,-0.018647210701378845,0.023486582820231347,-0.793951629494442,0.42762256294727186,age_10_18_years_6,Butyricicoccus_sp_AM29_23AC,0.42762256294727186
factor(age_1_5_years_7)2,0.009692988328183133,0.022376654177044,0.433174157829506,0.6650861328338813,age_1_5_years_7,Butyricicoccus_sp_AM29_23AC,0.6650861328338813
factor(age_5_10_years_7)2,-0.016821822940506416,0.02491981118760402,-0.6750381378842139,0.49998206602736095,age_5_10_years_7,Butyricicoccus_sp_AM29_23AC,0.49998206602736095
factor(age_10_18_years_7)2,-0.006330420856244515,0.02813951017723104,-0.22496556679109317,0.822103422626557,age_10_18_years_7,Butyricicoccus_sp_AM29_23AC,0.822103422626557
factor(age_1_5_years_8)2,-0.019976531738135885,0.022792799902137156,-0.8764404471546646,0.3812374141094732,age_1_5_years_8,Butyricicoccus_sp_AM29_23AC,0.3812374141094732
factor(age_5_10_years_8)2,-0.006523942689334742,0.020723355427649085,-0.31481111792497185,0.7530444828101667,age_5_10_years_8,Butyricicoccus_sp_AM29_23AC,0.7530444828101667
factor(age_10_18_years_8)2,-0.0076576887634025774,0.020618574789271156,-0.37139757920548633,0.7105091472942509,age_10_18_years_8,Butyricicoccus_sp_AM29_23AC,0.7105091472942509
factor(age_1_5_yers_9)2,0.033667364971352455,0.02152007462627903,1.5644632073087648,0.11837900246268977,age_1_5_yers_9,Butyricicoccus_sp_AM29_23AC,0.11837900246268977
factor(age_5_10_years_9)2,0.0016796723442988313,0.020912987747455432,0.08031718684018278,0.9360190318345145,age_5_10_years_9,Butyricicoccus_sp_AM29_23AC,0.9360190318345145
factor(age_10_18_years_9)2,-0.011306626469365776,0.0216667075724795,-0.5218433133665017,0.6020242206106463,age_10_18_years_9,Butyricicoccus_sp_AM29_23AC,0.6020242206106463
